prova,marca,nom,any,lloc,data,vent,manual,pc
Combinades_Hexatló_S16F,3272,Mireia López Urbano,2000,Serrahima,2014-05-24,,0,0
Combinades_Hexatló_S16F,2743,MONTSE GUINOVART PEDESCOLL,1994,Cambrils,2009-06-07,,0,0
Combinades_Hexatló_S16F,2407,BEATRIU MALLA FERRER,1990,Camp Clar,2005-06-26,,0,0
Combinades_Hexatló_S16F,2339,Alicia Vazquez Domingo,1999,Cambrils,2014-03-29,,0,0
Combinades_Hexatló_S16F,2015,ANNA ESPARZA OLIVAR,1996,Cambrils,2010-12-18,,0,0
Combinades_Hexatló_S16F,1856,MARIA ALVAREZ AUÑOS,1996,Cambrils,2010-12-18,,0,0
Combinades_Hexatló_S16F,1385,Nerea Lago Garbajosa,2000,Cambrils,2014-03-29,,0,0
